x,y,TOTAL_RAIN,MIN_REL_HUMIDITY,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,LOCAL_DAY,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,CLIMATE_IDENTIFIER,MIN_TEMPERATURE,LOCAL_YEAR,MAX_REL_HUMIDITY,LOCAL_DATE,MEAN_TEMPERATURE_FLAG,LOCAL_MONTH,TOTAL_RAIN_FLAG,MEAN_TEMPERATURE,SPEED_MAX_GUST_FLAG,MAX_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS_FLAG,TOTAL_SNOW,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,MIN_TEMPERATURE_FLAG,SPEED_MAX_GUST,ID,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS,PROVINCE_CODE,TOTAL_SNOW_FLAG,HEATING_DEGREE_DAYS,STATION_NAME
-119.60222222222222,49.463055555555556,18.8,,,,6,,,1126150,13.9,1941,,1941-06-06 00:00:00,,6,,14.8,,,,15.6,18.8,,0,,,,,1126150.1941.6.6,,0,BC,,3.2,PENTICTON A
-119.60222222222222,49.463055555555556,15.7,,,,7,,,1126150,11.7,1941,,1941-06-07 00:00:00,,6,,12.5,,,,13.3,15.7,,0,,,,,1126150.1941.6.7,,0,BC,,5.5,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,8,,T,1126150,8.9,1941,,1941-06-08 00:00:00,,6,T,14.2,,,,19.4,0,,0,,,,,1126150.1941.6.8,,0,BC,,3.8,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,9,,,1126150,6.1,1941,,1941-06-09 00:00:00,,6,,14.7,,,,23.3,0,,0,,,,,1126150.1941.6.9,,0,BC,,3.3,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,10,,,1126150,7.8,1941,,1941-06-10 00:00:00,,6,,17.3,,,,26.7,0,,0,,,,,1126150.1941.6.10,,0,BC,,0.7,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,11,,,1126150,11.7,1941,,1941-06-11 00:00:00,,6,,21.7,,,,31.7,0,,0,,,,,1126150.1941.6.11,,3.7,BC,,0,PENTICTON A
-119.60222222222222,49.463055555555556,1.3,,,,12,,,1126150,12.8,1941,,1941-06-12 00:00:00,,6,,22.8,,,,32.8,1.3,,0,,,,,1126150.1941.6.12,,4.8,BC,,0,PENTICTON A
-119.60222222222222,49.463055555555556,1.5,,,,13,,,1126150,16.1,1941,,1941-06-13 00:00:00,,6,,19.5,,,,22.8,1.5,,0,,,,,1126150.1941.6.13,,1.5,BC,,0,PENTICTON A
-119.60222222222222,49.463055555555556,4.8,,,,14,,,1126150,6.7,1941,,1941-06-14 00:00:00,,6,,17,,,,27.2,4.8,,0,,,,,1126150.1941.6.14,,0,BC,,1,PENTICTON A
-119.60222222222222,49.463055555555556,0.3,,,,15,,,1126150,13.3,1941,,1941-06-15 00:00:00,,6,,17,,,,20.6,0.3,,0,,,,,1126150.1941.6.15,,0,BC,,1,PENTICTON A
-119.60222222222222,49.463055555555556,3.8,,,,16,,,1126150,10,1941,,1941-06-16 00:00:00,,6,,16.7,,,,23.3,3.8,,0,,,,,1126150.1941.6.16,,0,BC,,1.3,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,17,,T,1126150,11.7,1941,,1941-06-17 00:00:00,,6,T,17,,,,22.2,0,,0,,,,,1126150.1941.6.17,,0,BC,,1,PENTICTON A
-119.60222222222222,49.463055555555556,11.4,,,,18,,,1126150,10.6,1941,,1941-06-18 00:00:00,,6,,13.7,,,,16.7,11.4,,0,,,,,1126150.1941.6.18,,0,BC,,4.3,PENTICTON A
-119.60222222222222,49.463055555555556,0.8,,,,19,,,1126150,8.9,1941,,1941-06-19 00:00:00,,6,,13.9,,,,18.9,0.8,,0,,,,,1126150.1941.6.19,,0,BC,,4.1,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,20,,,1126150,6.1,1941,,1941-06-20 00:00:00,,6,,14.2,,,,22.2,0,,0,,,,,1126150.1941.6.20,,0,BC,,3.8,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,21,,,1126150,6.7,1941,,1941-06-21 00:00:00,,6,,15,,,,23.3,0,,0,,,,,1126150.1941.6.21,,0,BC,,3,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,22,,,1126150,13.9,1941,,1941-06-22 00:00:00,,6,,23.1,,,,32.2,0,,0,,,,,1126150.1941.6.22,,5.1,BC,,0,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,23,,,1126150,11.7,1941,,1941-06-23 00:00:00,,6,,20.3,,,,28.9,0,,0,,,,,1126150.1941.6.23,,2.3,BC,,0,PENTICTON A
-119.60222222222222,49.463055555555556,2.3,,,,24,,,1126150,12.2,1941,,1941-06-24 00:00:00,,6,,17.2,,,,22.2,2.3,,0,,,,,1126150.1941.6.24,,0,BC,,0.8,PENTICTON A
-119.60222222222222,49.463055555555556,0.5,,,,25,,,1126150,13.3,1941,,1941-06-25 00:00:00,,6,,15.8,,,,18.3,0.5,,0,,,,,1126150.1941.6.25,,0,BC,,2.2,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,26,,,1126150,10.6,1941,,1941-06-26 00:00:00,,6,,17,,,,23.3,0,,0,,,,,1126150.1941.6.26,,0,BC,,1,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,27,,,1126150,11.1,1941,,1941-06-27 00:00:00,,6,,18.6,,,,26.1,0,,0,,,,,1126150.1941.6.27,,0.6,BC,,0,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,28,,,1126150,11.7,1941,,1941-06-28 00:00:00,,6,,20,,,,28.3,0,,0,,,,,1126150.1941.6.28,,2,BC,,0,PENTICTON A
-119.60222222222222,49.463055555555556,0,,,,29,,,1126150,16.1,1941,,1941-06-29 00:00:00,,6,,22,,,,27.8,0,,0,,,,,1126150.1941.6.29,,4,BC,,0,PENTICTON A
