"Year","DayOfYear","variable","value","Percentile_90","Temp_Higher","streak","Heatwave","daily_max_temp","station"
2023,"04-06","Max_Temp_Year",13,18.2,"Not Higher",27,"Not Higher",NA,"Kelowna"
2023,"04-07","Max_Temp_Year",12,18.3,"Not Higher",27,"Not Higher",NA,"Kelowna"
2023,"04-08","Max_Temp_Year",12.4,18.3,"Not Higher",27,"Not Higher",NA,"Kelowna"
2023,"04-09","Max_Temp_Year",15.3,18.9,"Not Higher",27,"Not Higher",NA,"Kelowna"
2023,"04-10","Max_Temp_Year",13.3,18.9,"Not Higher",27,"Not Higher",NA,"Kelowna"
2023,"04-11","Max_Temp_Year",12.2,19.4,"Not Higher",27,"Not Higher",NA,"Kelowna"
2023,"04-12","Max_Temp_Year",11,19.4,"Not Higher",27,"Not Higher",NA,"Kelowna"
2023,"04-13","Max_Temp_Year",13.1,19.4,"Not Higher",27,"Not Higher",NA,"Kelowna"
2023,"04-14","Max_Temp_Year",13.8,20,"Not Higher",27,"Not Higher",NA,"Kelowna"
2023,"04-15","Max_Temp_Year",15.2,20,"Not Higher",27,"Not Higher",NA,"Kelowna"
2023,"04-16","Max_Temp_Year",12.8,20.2,"Not Higher",27,"Not Higher",NA,"Kelowna"
2023,"04-17","Max_Temp_Year",13.4,20.5,"Not Higher",27,"Not Higher",NA,"Kelowna"
2023,"04-18","Max_Temp_Year",11.3,20.6,"Not Higher",27,"Not Higher",NA,"Kelowna"
2023,"04-19","Max_Temp_Year",13.5,20.7,"Not Higher",27,"Not Higher",NA,"Kelowna"
2023,"04-20","Max_Temp_Year",13.6,21.1,"Not Higher",27,"Not Higher",NA,"Kelowna"
2023,"04-21","Max_Temp_Year",12.1,21.1,"Not Higher",27,"Not Higher",NA,"Kelowna"
2023,"04-22","Max_Temp_Year",15,21.5,"Not Higher",27,"Not Higher",NA,"Kelowna"
2023,"04-23","Max_Temp_Year",13.2,21.7,"Not Higher",27,"Not Higher",NA,"Kelowna"
2023,"04-24","Max_Temp_Year",15,22.07,"Not Higher",27,"Not Higher",NA,"Kelowna"
2023,"04-25","Max_Temp_Year",18.7,22.2,"Not Higher",27,"Not Higher",NA,"Kelowna"
2023,"04-26","Max_Temp_Year",20.8,22.4,"Not Higher",27,"Not Higher",NA,"Kelowna"
2023,"04-27","Max_Temp_Year",19.7,22.8,"Not Higher",27,"Not Higher",NA,"Kelowna"
2023,"04-28","Max_Temp_Year",25.3,22.8,"Higher",7,"Heatwave",25.3,"Kelowna"
2023,"04-29","Max_Temp_Year",27.6,23,"Higher",7,"Heatwave",27.6,"Kelowna"
2023,"04-30","Max_Temp_Year",26.9,23.3,"Higher",7,"Heatwave",26.9,"Kelowna"
2023,"05-01","Max_Temp_Year",24.2,23.9,"Higher",7,"Heatwave",24.2,"Kelowna"
2023,"05-02","Max_Temp_Year",26.1,23.9,"Higher",7,"Heatwave",26.1,"Kelowna"
2023,"05-03","Max_Temp_Year",28.2,23.9,"Higher",7,"Heatwave",28.2,"Kelowna"
2023,"05-04","Max_Temp_Year",30.1,24.4,"Higher",7,"Heatwave",30.1,"Kelowna"
2023,"05-05","Max_Temp_Year",20.4,24.4,"Not Higher",7,"Not Higher",NA,"Kelowna"
2023,"05-06","Max_Temp_Year",16.3,24.7,"Not Higher",7,"Not Higher",NA,"Kelowna"
2023,"05-07","Max_Temp_Year",17,25,"Not Higher",7,"Not Higher",NA,"Kelowna"
2023,"05-08","Max_Temp_Year",20,25.1,"Not Higher",7,"Not Higher",NA,"Kelowna"
2023,"05-09","Max_Temp_Year",20.7,25.5,"Not Higher",7,"Not Higher",NA,"Kelowna"
2023,"05-10","Max_Temp_Year",21.5,25.5,"Not Higher",7,"Not Higher",NA,"Kelowna"
2023,"05-11","Max_Temp_Year",25.2,25.6,"Not Higher",7,"Not Higher",NA,"Kelowna"
2023,"05-12","Max_Temp_Year",27.5,25.6,"Higher",9,"Heatwave",27.5,"Kelowna"
2023,"05-13","Max_Temp_Year",29.9,25.6,"Higher",9,"Heatwave",29.9,"Kelowna"
2023,"05-14","Max_Temp_Year",31.3,26.1,"Higher",9,"Heatwave",31.3,"Kelowna"
2023,"05-15","Max_Temp_Year",31.9,26.1,"Higher",9,"Heatwave",31.9,"Kelowna"
2023,"05-16","Max_Temp_Year",30.4,26.7,"Higher",9,"Heatwave",30.4,"Kelowna"
2023,"05-17","Max_Temp_Year",28.6,26.7,"Higher",9,"Heatwave",28.6,"Kelowna"
2023,"05-18","Max_Temp_Year",30.1,26.7,"Higher",9,"Heatwave",30.1,"Kelowna"
